created_at,_id,like_counts,ip_location,content,comment_user,crawl_time,reply_comment
2022-10-21 19:50:14,4827096767792345,0,来自山西,[心],"{'_id': '6516864032', 'avatar_hd': 'https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/0077262cly8h81zsov6xdj30u00u0415.jpg?KID=imgbed,tva&Expires=1702460320&ssig=UiBIxwlRfP', 'nick_name': '清玄1', 'verified': False, 'description': '看我渣不渣你', 'followers_count': 55, 'friends_count': 1608, 'statuses_count': 0, 'gender': 'f', 'location': '山西 运城', 'mbrank': 2, 'mbtype': 2}",1702449524,"{'_id': 4826389771719450, 'text': '五周年快乐！[鼓掌][鼓掌][鼓掌]', 'user': {'_id': '7127399048', 'avatar_hd': 'https://tvax1.sinaimg.cn/crop.0.0.1080.1080.1024/007MlQ5aly8gdi79njf9gj30u00u0gop.jpg?KID=imgbed,tva&Expires=1702460320&ssig=wwLafzD%2BXu', 'nick_name': '小白兔昵昵', 'verified': False, 'description': '💞漫漫路長陪💞', 'followers_count': 160, 'friends_count': 181, 'statuses_count': 5108, 'gender': 'f', 'location': '海外 美国', 'mbrank': 6, 'mbtype': 12, 'credit_score': 80, 'created_at': '2019-05-10 01:44:41'}}"
2022-10-21 19:50:09,4827096743151688,0,来自山西,好棒,"{'_id': '6516864032', 'avatar_hd': 'https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/0077262cly8h81zsov6xdj30u00u0415.jpg?KID=imgbed,tva&Expires=1702460329&ssig=sf80m5gp4U', 'nick_name': '清玄1', 'verified': False, 'description': '看我渣不渣你', 'followers_count': 55, 'friends_count': 1608, 'statuses_count': 0, 'gender': 'f', 'location': '山西 运城', 'mbrank': 2, 'mbtype': 2}",1702449524,"{'_id': 4826260917977467, 'text': '五周年快乐[打call][打call][打call][打call][打call]', 'user': {'_id': '7766434669', 'avatar_hd': 'https://tvax3.sinaimg.cn/crop.0.0.750.750.1024/008tBarjly8himgfoco67j30ku0kudhr.jpg?KID=imgbed,tva&Expires=1702460329&ssig=yGnxPbTFVb', 'nick_name': '不想和活人交流', 'verified': False, 'description': '', 'followers_count': 0, 'friends_count': 178, 'statuses_count': 25, 'gender': 'f', 'location': '陕西', 'mbrank': 2, 'mbtype': 2, 'credit_score': 80, 'created_at': '2022-06-10 14:14:05'}}"
2022-10-21 13:15:32,4826997433568334,0,来自云南,昨天看到了一个人物访谈（片段），他说：成功的路上并不拥挤，因为很多人走不到一半就放弃了。做自己喜欢的事情，并专注于它，总会有意想不到的收获。加油💪,"{'_id': '1813713515', 'avatar_hd': 'https://tvax3.sinaimg.cn/crop.0.0.996.996.1024/6c1b126bly8gc1jog4ws7j20ro0roahq.jpg?KID=imgbed,tva&Expires=1702460329&ssig=2zgP5643%2BA', 'nick_name': 'Jack-sister', 'verified': False, 'description': '', 'followers_count': 7, 'friends_count': 8, 'statuses_count': 1, 'gender': 'f', 'location': '其他', 'mbrank': 4, 'mbtype': 2}",1702449524,"{'_id': 4826260917977467, 'text': '五周年快乐[打call][打call][打call][打call][打call]', 'user': {'_id': '7766434669', 'avatar_hd': 'https://tvax3.sinaimg.cn/crop.0.0.750.750.1024/008tBarjly8himgfoco67j30ku0kudhr.jpg?KID=imgbed,tva&Expires=1702460329&ssig=yGnxPbTFVb', 'nick_name': '不想和活人交流', 'verified': False, 'description': '', 'followers_count': 0, 'friends_count': 178, 'statuses_count': 25, 'gender': 'f', 'location': '陕西', 'mbrank': 2, 'mbtype': 2, 'credit_score': 80, 'created_at': '2022-06-10 14:14:05'}}"
2022-10-19 12:42:55,4826264450108357,0,来自河南,生日快乐,"{'_id': '7630472856', 'avatar_hd': 'https://tvax1.sinaimg.cn/crop.0.0.798.798.1024/008koGyQly8hkehxfph40j30m60m6q4l.jpg?KID=imgbed,tva&Expires=1702460329&ssig=v0dQsxTMun', 'nick_name': '小猫伤痛Szi', 'verified': False, 'description': '1807 forever', 'followers_count': 23, 'friends_count': 401, 'statuses_count': 12079, 'gender': 'f', 'location': '河南', 'mbrank': 4, 'mbtype': 11}",1702449524,"{'_id': 4826260917977467, 'text': '五周年快乐[打call][打call][打call][打call][打call]', 'user': {'_id': '7766434669', 'avatar_hd': 'https://tvax3.sinaimg.cn/crop.0.0.750.750.1024/008tBarjly8himgfoco67j30ku0kudhr.jpg?KID=imgbed,tva&Expires=1702460329&ssig=yGnxPbTFVb', 'nick_name': '不想和活人交流', 'verified': False, 'description': '', 'followers_count': 0, 'friends_count': 178, 'statuses_count': 25, 'gender': 'f', 'location': '陕西', 'mbrank': 2, 'mbtype': 2, 'credit_score': 80, 'created_at': '2022-06-10 14:14:05'}}"
2022-10-21 19:50:01,4827096708287496,0,来自山西,[心],"{'_id': '6516864032', 'avatar_hd': 'https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/0077262cly8h81zsov6xdj30u00u0415.jpg?KID=imgbed,tva&Expires=1702460330&ssig=Ya4aoqSC4m', 'nick_name': '清玄1', 'verified': False, 'description': '看我渣不渣你', 'followers_count': 55, 'friends_count': 1608, 'statuses_count': 0, 'gender': 'f', 'location': '山西 运城', 'mbrank': 2, 'mbtype': 2}",1702449525,"{'_id': 4826271005804585, 'text': '已经五年了呀！好棒哦！[抱一抱]', 'user': {'_id': '6013759353', 'avatar_hd': 'https://tvax1.sinaimg.cn/crop.0.0.768.768.1024/006yZ7wBly8ha31z3ku6kj30lc0lcdh6.jpg?KID=imgbed,tva&Expires=1702460330&ssig=%2B2SysPfXMe', 'nick_name': '瑰丽Grace', 'verified': True, 'description': '另一个自己', 'followers_count': 1047, 'friends_count': 365, 'statuses_count': 17613, 'gender': 'f', 'location': '江苏', 'mbrank': 7, 'mbtype': 12, 'credit_score': 80, 'created_at': '2016-09-20 22:35:14', 'verified_type': 0, 'verified_reason': '超话粉丝大咖（陈坤超话）'}}"
2022-10-21 19:49:54,4827096679189062,0,来自山西,[泪],"{'_id': '6516864032', 'avatar_hd': 'https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/0077262cly8h81zsov6xdj30u00u0415.jpg?KID=imgbed,tva&Expires=1702460331&ssig=gYTBjU0Xzo', 'nick_name': '清玄1', 'verified': False, 'description': '看我渣不渣你', 'followers_count': 55, 'friends_count': 1608, 'statuses_count': 0, 'gender': 'f', 'location': '山西 运城', 'mbrank': 2, 'mbtype': 2}",1702449526,"{'_id': 4826278542705147, 'text': '这桃李满天下。坤哥满满成就感[haha]', 'user': {'_id': '1775095327', 'avatar_hd': 'https://tvax1.sinaimg.cn/crop.0.0.1080.1080.1024/69cdce1fly8h90sye8s23j20u00u0n0n.jpg?KID=imgbed,tva&Expires=1702460331&ssig=YzMX9Mau0C', 'nick_name': '吴桐语的微博', 'verified': True, 'description': '他戴斗笠，牛皮批身。牵骆驼，刀口舔血。', 'followers_count': 882, 'friends_count': 787, 'statuses_count': 5475, 'gender': 'f', 'location': '上海 徐汇区', 'mbrank': 6, 'mbtype': 12, 'credit_score': 80, 'created_at': '2010-07-14 16:16:44', 'verified_type': 0, 'verified_reason': '超话粉丝大咖（陈坤超话）'}}"
2022-10-21 19:49:47,4827096650880428,0,来自山西,你也加油,"{'_id': '6516864032', 'avatar_hd': 'https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/0077262cly8h81zsov6xdj30u00u0415.jpg?KID=imgbed,tva&Expires=1702460332&ssig=5RC4bNlO7r', 'nick_name': '清玄1', 'verified': False, 'description': '看我渣不渣你', 'followers_count': 55, 'friends_count': 1608, 'statuses_count': 0, 'gender': 'f', 'location': '山西 运城', 'mbrank': 2, 'mbtype': 2}",1702449528,"{'_id': 4826264995893197, 'text': '愿你永远都可以做自己喜欢并热爱的事儿，加油啊[爱你]', 'user': {'_id': '5967269898', 'avatar_hd': 'https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/006vQ3uGly8haree1paphj30e80e83z3.jpg?KID=imgbed,tva&Expires=1702460332&ssig=kek5piT2sN', 'nick_name': '坤坤天使ick', 'verified': True, 'description': '随心随缘～', 'followers_count': 365, 'friends_count': 387, 'statuses_count': 3044, 'gender': 'f', 'location': '重庆', 'mbrank': 8, 'mbtype': 12, 'credit_score': 80, 'created_at': '2016-06-22 23:41:33', 'verified_type': 0, 'verified_reason': '超话粉丝大咖（陈坤超话）'}}"
2022-10-21 19:49:33,4827096591633258,0,来自山西,太喜欢她们淹的剧情[泪][泪][泪][泪],"{'_id': '6516864032', 'avatar_hd': 'https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/0077262cly8h81zsov6xdj30u00u0415.jpg?KID=imgbed,tva&Expires=1702460334&ssig=57ciSLBl6Q', 'nick_name': '清玄1', 'verified': False, 'description': '看我渣不渣你', 'followers_count': 55, 'friends_count': 1608, 'statuses_count': 0, 'gender': 'f', 'location': '山西 运城', 'mbrank': 2, 'mbtype': 2}",1702449529,"{'_id': 4826258373087837, 'text': '[抱一抱][抱一抱][抱一抱]每一颗树都需要时间慢慢成长，让根系布满地下，让枝叶伸向太阳。五年，路还长。#山下学堂#', 'user': {'_id': '1274276774', 'avatar_hd': 'https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/4bf3eba6ly8g9ba3n9grjj20u00u0dhi.jpg?KID=imgbed,tva&Expires=1702460334&ssig=siZbFIBmnG', 'nick_name': '无关风月045', 'verified': True, 'description': '沉迷画画儿、学习无法自拔', 'followers_count': 2428, 'friends_count': 1200, 'statuses_count': 24139, 'gender': 'f', 'location': '安徽', 'mbrank': 7, 'mbtype': 12, 'credit_score': 80, 'created_at': '2009-11-20 21:29:20', 'verified_type': 0, 'verified_reason': '超话粉丝大咖（陈坤超话）'}}"
2022-10-19 12:42:48,4826264424416483,0,来自河南,五周年快乐,"{'_id': '7630472856', 'avatar_hd': 'https://tvax1.sinaimg.cn/crop.0.0.798.798.1024/008koGyQly8hkehxfph40j30m60m6q4l.jpg?KID=imgbed,tva&Expires=1702460334&ssig=TpEZMnoUb%2B', 'nick_name': '小猫伤痛Szi', 'verified': False, 'description': '1807 forever', 'followers_count': 23, 'friends_count': 401, 'statuses_count': 12079, 'gender': 'f', 'location': '河南', 'mbrank': 4, 'mbtype': 11}",1702449529,"{'_id': 4826258373087837, 'text': '[抱一抱][抱一抱][抱一抱]每一颗树都需要时间慢慢成长，让根系布满地下，让枝叶伸向太阳。五年，路还长。#山下学堂#', 'user': {'_id': '1274276774', 'avatar_hd': 'https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/4bf3eba6ly8g9ba3n9grjj20u00u0dhi.jpg?KID=imgbed,tva&Expires=1702460334&ssig=siZbFIBmnG', 'nick_name': '无关风月045', 'verified': True, 'description': '沉迷画画儿、学习无法自拔', 'followers_count': 2428, 'friends_count': 1200, 'statuses_count': 24139, 'gender': 'f', 'location': '安徽', 'mbrank': 7, 'mbtype': 12, 'credit_score': 80, 'created_at': '2009-11-20 21:29:20', 'verified_type': 0, 'verified_reason': '超话粉丝大咖（陈坤超话）'}}"
2022-10-21 19:49:12,4827096507744788,0,来自山西,陈坤老师还有周迅老师可是我当年的男神女神呢,"{'_id': '6516864032', 'avatar_hd': 'https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/0077262cly8h81zsov6xdj30u00u0415.jpg?KID=imgbed,tva&Expires=1702460335&ssig=jx04B1oC%2FO', 'nick_name': '清玄1', 'verified': False, 'description': '看我渣不渣你', 'followers_count': 55, 'friends_count': 1608, 'statuses_count': 0, 'gender': 'f', 'location': '山西 运城', 'mbrank': 2, 'mbtype': 2}",1702449530,"{'_id': 4826258879547296, 'text': '路漫漫长陪[心]', 'user': {'_id': '7689430286', 'avatar_hd': 'https://tvax4.sinaimg.cn/crop.0.0.634.634.1024/008oo458ly8haezgl0sqaj30hm0hm74w.jpg?KID=imgbed,tva&Expires=1702460335&ssig=oYqbztAlSr', 'nick_name': '他和规范打退堂鼓', 'verified': False, 'description': '', 'followers_count': 107, 'friends_count': 134, 'statuses_count': 19, 'gender': 'f', 'location': '其他', 'mbrank': 0, 'mbtype': 0, 'credit_score': 80, 'created_at': '2021-09-03 08:59:46'}}"
2023-03-01 01:16:36,4874289318462409,0,来自广东,回复@陈学言天天混碗饭吃:好的呢,"{'_id': '1928661725', 'avatar_hd': 'https://tva3.sinaimg.cn/crop.0.0.180.180.1024/72f50addjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1702460336&ssig=uMS9e0xA%2Fm', 'nick_name': '陈学言天天混碗饭吃', 'verified': False, 'description': '烦躁啊', 'followers_count': 205, 'friends_count': 809, 'statuses_count': 102, 'gender': 'm', 'location': '广东 广州', 'mbrank': 0, 'mbtype': 0}",1702449531,"{'_id': 4874288152970608, 'text': '回复@隐藏的珍宝CK:不错哦', 'user': {'_id': '1928661725', 'avatar_hd': 'https://tva3.sinaimg.cn/crop.0.0.180.180.1024/72f50addjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1702460336&ssig=uMS9e0xA%2Fm', 'nick_name': '陈学言天天混碗饭吃', 'verified': False, 'description': '烦躁啊', 'followers_count': 205, 'friends_count': 809, 'statuses_count': 102, 'gender': 'm', 'location': '广东 广州', 'mbrank': 0, 'mbtype': 0, 'credit_score': 80, 'created_at': '2011-01-20 15:11:51'}}"
